id,split,category,subcategory,difficulty,query,chat_history_json,gold_documents,gold_evidence_json,must_include,acceptable_interpretations,must_not_claim,scoring_dimensions,requires_uncertainty_or_abstention,notes
canon_011,holdout_test,canon_fact,wife_illness,medium,마누라는 얼마나 기침했고 약은 써봤어?,[],doc1,"[{""doc_id"": ""doc1"", ""line_ids"": [5], ""claim"": ""아내는 한 달 넘게 기침했고 가난 때문에 약을 써보지 못했다.""}]",한 달이 넘는 기침|형편 때문에 약을 못 씀,같은 사실을 김첨지의 체험과 감정에 섞어 말함,확정 병명|입원이나 수술을 했다는 주장,canon_accuracy|evidence_grounding|speech_fidelity|immersion,False,
canon_012,holdout_test,canon_fact,wife_illness,medium,아내의 병세 기간과 치료 형편을 함께 말해봐.,[],doc1,"[{""doc_id"": ""doc1"", ""line_ids"": [5], ""claim"": ""아내는 한 달 넘게 기침했고 가난 때문에 약을 써보지 못했다.""}]",한 달이 넘는 기침|형편 때문에 약을 못 씀,같은 사실을 김첨지의 체험과 감정에 섞어 말함,확정 병명|입원이나 수술을 했다는 주장,canon_accuracy|evidence_grounding|speech_fidelity|immersion,False,
canon_013,holdout_test,canon_fact,illness_worsening,medium,마누라 병이 더 깊어진 계기는 뭐였어?,[],doc1,"[{""doc_id"": ""doc1"", ""line_ids"": [6], ""claim"": ""열흘 전 덜 익은 좁쌀밥을 먹고 체한 뒤 병이 깊어졌다.""}]",열흘 전|덜 익은 좁쌀밥|체함,같은 사실을 김첨지의 체험과 감정에 섞어 말함,다른 음식이나 전염병을 원인으로 단정,canon_accuracy|evidence_grounding|speech_fidelity|immersion,False,
canon_014,holdout_test,canon_fact,illness_worsening,medium,열흘 전 먹은 것과 아내의 악화를 연결해서 말해봐.,[],doc1,"[{""doc_id"": ""doc1"", ""line_ids"": [6], ""claim"": ""열흘 전 덜 익은 좁쌀밥을 먹고 체한 뒤 병이 깊어졌다.""}]",열흘 전|덜 익은 좁쌀밥|체함,같은 사실을 김첨지의 체험과 감정에 섞어 말함,다른 음식이나 전염병을 원인으로 단정,canon_accuracy|evidence_grounding|speech_fidelity|immersion,False,
canon_015,holdout_test,canon_fact,requested_food,easy,마누라가 먹고 싶다고 한 건 무엇이었지?,[],doc1,"[{""doc_id"": ""doc1"", ""line_ids"": [7, 8], ""claim"": ""아내가 설렁탕 국물을 원했고 김첨지는 사주려 했다.""}]",설렁탕,같은 사실을 김첨지의 체험과 감정에 섞어 말함,추어탕이나 빈대떡을 아내의 요청으로 바꿈,canon_accuracy|evidence_grounding|speech_fidelity|immersion,False,
canon_016,holdout_test,canon_fact,requested_food,easy,돈이 생기자 아내에게 사다 주려던 음식이 뭐였어?,[],doc1,"[{""doc_id"": ""doc1"", ""line_ids"": [7, 8], ""claim"": ""아내가 설렁탕 국물을 원했고 김첨지는 사주려 했다.""}]",설렁탕,같은 사실을 김첨지의 체험과 감정에 섞어 말함,추어탕이나 빈대떡을 아내의 요청으로 바꿈,canon_accuracy|evidence_grounding|speech_fidelity|immersion,False,
canon_017,holdout_test,canon_fact,station_passenger,easy,집에 들르려던 참에 만난 먼 길 손님은 누구였어?,[],doc1,"[{""doc_id"": ""doc1"", ""line_ids"": [9], ""claim"": ""학생 손님이 남대문 정거장까지 가자고 했다.""}]",학생|남대문 정거장,같은 사실을 김첨지의 체험과 감정에 섞어 말함,손님의 이름이나 학교를 지어냄,canon_accuracy|evidence_grounding|speech_fidelity|immersion,False,
canon_018,holdout_test,canon_fact,station_passenger,easy,남대문 정거장으로 가자고 한 손님을 어떻게 기억해?,[],doc1,"[{""doc_id"": ""doc1"", ""line_ids"": [9], ""claim"": ""학생 손님이 남대문 정거장까지 가자고 했다.""}]",학생|남대문 정거장,같은 사실을 김첨지의 체험과 감정에 섞어 말함,손님의 이름이나 학교를 지어냄,canon_accuracy|evidence_grounding|speech_fidelity|immersion,False,
canon_019,holdout_test,canon_fact,station_fare,easy,남대문 정거장까지 얼마를 불러 받았어?,[],doc1,"[{""doc_id"": ""doc1"", ""line_ids"": [10, 11], ""claim"": ""남대문 정거장까지 1원 50전을 받고 갔다.""}]",1원 50전,같은 사실을 김첨지의 체험과 감정에 섞어 말함,60전이나 80전으로 혼동,canon_accuracy|evidence_grounding|speech_fidelity|immersion,False,
canon_020,holdout_test,canon_fact,station_fare,easy,그 먼 길 한 번으로 번 삯이 정확히 얼마였지?,[],doc1,"[{""doc_id"": ""doc1"", ""line_ids"": [10, 11], ""claim"": ""남대문 정거장까지 1원 50전을 받고 갔다.""}]",1원 50전,같은 사실을 김첨지의 체험과 감정에 섞어 말함,60전이나 80전으로 혼동,canon_accuracy|evidence_grounding|speech_fidelity|immersion,False,
canon_021,holdout_test,canon_fact,physical_state,medium,정거장 손님을 내려준 뒤 네 몸은 어땠어?,[],doc1,"[{""doc_id"": ""doc1"", ""line_ids"": [11], ""claim"": ""삭풍과 빗물에 젖어 몸이 떨렸다.""}]",바람과 비에 젖음|몸이 떨림,같은 사실을 김첨지의 체험과 감정에 섞어 말함,더위나 질병을 원인으로 단정,canon_accuracy|evidence_grounding|speech_fidelity|immersion,False,
canon_022,holdout_test,canon_fact,physical_state,medium,큰돈을 받고 기뻤는데 곧 몸이 떨린 까닭은 뭐였지?,[],doc1,"[{""doc_id"": ""doc1"", ""line_ids"": [11], ""claim"": ""삭풍과 빗물에 젖어 몸이 떨렸다.""}]",바람과 비에 젖음|몸이 떨림,같은 사실을 김첨지의 체험과 감정에 섞어 말함,더위나 질병을 원인으로 단정,canon_accuracy|evidence_grounding|speech_fidelity|immersion,False,
canon_023,holdout_test,canon_fact,last_fare,medium,정거장 뒤에 마지막으로 어디 가는 손님을 얼마에 태웠어?,[],doc1,"[{""doc_id"": ""doc1"", ""line_ids"": [12], ""claim"": ""인사동행 손님에게 60전을 받았다.""}]",인사동|60전,같은 사실을 김첨지의 체험과 감정에 섞어 말함,남대문 정거장 삯과 혼동,canon_accuracy|evidence_grounding|speech_fidelity|immersion,False,
canon_024,holdout_test,canon_fact,last_fare,medium,추가로 번 육십 전은 어느 행선지 손님에게서 나왔지?,[],doc1,"[{""doc_id"": ""doc1"", ""line_ids"": [12], ""claim"": ""인사동행 손님에게 60전을 받았다.""}]",인사동|60전,같은 사실을 김첨지의 체험과 감정에 섞어 말함,남대문 정거장 삯과 혼동,canon_accuracy|evidence_grounding|speech_fidelity|immersion,False,
canon_025,holdout_test,canon_fact,return_fear,medium,어둑해져 집으로 갈 때 무엇이 겁났어?,[],doc1,"[{""doc_id"": ""doc1"", ""line_ids"": [13], ""claim"": ""아내에게 변고가 생겼을까 두려웠다.""}]",아내의 병세|변고에 대한 두려움,같은 사실을 김첨지의 체험과 감정에 섞어 말함,돈을 잃을까만 걱정했다는 주장,canon_accuracy|evidence_grounding|speech_fidelity|immersion,False,
canon_026,holdout_test,canon_fact,return_fear,medium,귀갓길에 마음이 무거워진 직접적인 걱정은 무엇이었지?,[],doc1,"[{""doc_id"": ""doc1"", ""line_ids"": [13], ""claim"": ""아내에게 변고가 생겼을까 두려웠다.""}]",아내의 병세|변고에 대한 두려움,같은 사실을 김첨지의 체험과 감정에 섞어 말함,돈을 잃을까만 걱정했다는 주장,canon_accuracy|evidence_grounding|speech_fidelity|immersion,False,
canon_027,holdout_test,canon_fact,chisam_tavern,easy,집 가까이에서 누구를 만나 어디로 갔어?,[],doc1,"[{""doc_id"": ""doc1"", ""line_ids"": [14], ""claim"": ""친구 치삼을 만나 선술집에 갔다.""}]",치삼|선술집,같은 사실을 김첨지의 체험과 감정에 섞어 말함,치삼과 함께 바로 집에 갔다는 주장,canon_accuracy|evidence_grounding|speech_fidelity|immersion,False,
canon_028,holdout_test,canon_fact,chisam_tavern,easy,치삼을 만난 뒤 곧장 집에 들어갔나?,[],doc1,"[{""doc_id"": ""doc1"", ""line_ids"": [14], ""claim"": ""친구 치삼을 만나 선술집에 갔다.""}]",치삼|선술집,같은 사실을 김첨지의 체험과 감정에 섞어 말함,치삼과 함께 바로 집에 갔다는 주장,canon_accuracy|evidence_grounding|speech_fidelity|immersion,False,
canon_029,holdout_test,canon_fact,tavern_food,medium,선술집에서 무엇을 먹고 마셨지?,[],doc1,"[{""doc_id"": ""doc1"", ""line_ids"": [15], ""claim"": ""추어탕, 빈대떡, 막걸리를 먹고 마셨다.""}]",추어탕|빈대떡|막걸리,같은 사실을 김첨지의 체험과 감정에 섞어 말함,설렁탕을 술집에서 먹었다는 주장,canon_accuracy|evidence_grounding|speech_fidelity|immersion,False,
canon_030,holdout_test,canon_fact,tavern_food,medium,치삼과 있던 술상에 오른 것들을 빠짐없이 말해봐.,[],doc1,"[{""doc_id"": ""doc1"", ""line_ids"": [15], ""claim"": ""추어탕, 빈대떡, 막걸리를 먹고 마셨다.""}]",추어탕|빈대떡|막걸리,같은 사실을 김첨지의 체험과 감정에 섞어 말함,설렁탕을 술집에서 먹었다는 주장,canon_accuracy|evidence_grounding|speech_fidelity|immersion,False,
canon_031,holdout_test,canon_fact,drunk_contradiction,medium,술자리에서 마누라 일을 두고 무슨 말을 번갈아 했어?,[],doc1,"[{""doc_id"": ""doc1"", ""line_ids"": [17], ""claim"": ""아내가 죽었다고 했다가 살아 있다고 말을 바꿨다.""}]",죽었다|살아 있다|말을 오락가락함,같은 사실을 김첨지의 체험과 감정에 섞어 말함,일관되게 한쪽만 확신했다는 주장,canon_accuracy|evidence_grounding|speech_fidelity|immersion,False,
canon_032,holdout_test,canon_fact,drunk_contradiction,medium,치삼 앞에서 아내가 죽었다 했다가 곧 어떻게 말을 바꿨지?,[],doc1,"[{""doc_id"": ""doc1"", ""line_ids"": [17], ""claim"": ""아내가 죽었다고 했다가 살아 있다고 말을 바꿨다.""}]",죽었다|살아 있다|말을 오락가락함,같은 사실을 김첨지의 체험과 감정에 섞어 말함,일관되게 한쪽만 확신했다는 주장,canon_accuracy|evidence_grounding|speech_fidelity|immersion,False,
canon_033,holdout_test,canon_fact,carried_food,easy,만취해서도 결국 손에 들고 간 건 뭐였어?,[],doc1,"[{""doc_id"": ""doc1"", ""line_ids"": [18], ""claim"": ""설렁탕 한 그릇을 싸 들고 갔다.""}]",설렁탕 한 그릇,같은 사실을 김첨지의 체험과 감정에 섞어 말함,추어탕이나 빈대떡을 가져갔다고 함,canon_accuracy|evidence_grounding|speech_fidelity|immersion,False,
canon_034,holdout_test,canon_fact,carried_food,easy,술집을 나온 뒤 집으로 가져간 음식은 무엇이었지?,[],doc1,"[{""doc_id"": ""doc1"", ""line_ids"": [18], ""claim"": ""설렁탕 한 그릇을 싸 들고 갔다.""}]",설렁탕 한 그릇,같은 사실을 김첨지의 체험과 감정에 섞어 말함,추어탕이나 빈대떡을 가져갔다고 함,canon_accuracy|evidence_grounding|speech_fidelity|immersion,False,
canon_035,holdout_test,canon_fact,silent_room,medium,행랑방 문을 열었을 때 무엇이 들리지 않았어?,[],doc1,"[{""doc_id"": ""doc1"", ""line_ids"": [19], ""claim"": ""집은 무섭도록 조용했고 아내의 기침 소리도 없었다.""}]",무서운 정적|기침 소리가 없음,같은 사실을 김첨지의 체험과 감정에 섞어 말함,아내가 말을 걸었다는 주장,canon_accuracy|evidence_grounding|speech_fidelity|immersion,False,
canon_036,holdout_test,canon_fact,silent_room,medium,집 안의 어떤 정적이 변고를 알렸지?,[],doc1,"[{""doc_id"": ""doc1"", ""line_ids"": [19], ""claim"": ""집은 무섭도록 조용했고 아내의 기침 소리도 없었다.""}]",무서운 정적|기침 소리가 없음,같은 사실을 김첨지의 체험과 감정에 섞어 말함,아내가 말을 걸었다는 주장,canon_accuracy|evidence_grounding|speech_fidelity|immersion,False,
canon_037,holdout_test,canon_fact,child_state,medium,그때 개똥이는 어떤 상태였어?,[],doc1,"[{""doc_id"": ""doc1"", ""line_ids"": [20], ""claim"": ""개똥이는 헛젖을 빨다 울 힘도 없이 지쳐 있었다.""}]",헛젖|울 힘도 없이 지침,같은 사실을 김첨지의 체험과 감정에 섞어 말함,아이가 잠들어 평온했다는 주장,canon_accuracy|evidence_grounding|speech_fidelity|immersion,False,
canon_038,holdout_test,canon_fact,child_state,medium,아내 곁의 아이가 무엇을 하다 지쳐 있었지?,[],doc1,"[{""doc_id"": ""doc1"", ""line_ids"": [20], ""claim"": ""개똥이는 헛젖을 빨다 울 힘도 없이 지쳐 있었다.""}]",헛젖|울 힘도 없이 지침,같은 사실을 김첨지의 체험과 감정에 섞어 말함,아이가 잠들어 평온했다는 주장,canon_accuracy|evidence_grounding|speech_fidelity|immersion,False,
canon_039,holdout_test,canon_fact,death_realization,hard,마누라의 죽음을 무엇을 보고 깨달았고 끝내 뭐라 울부짖었어?,[],doc1,"[{""doc_id"": ""doc1"", ""line_ids"": [21, 22, 23, 24], ""claim"": ""식은 몸과 허공을 보는 눈으로 죽음을 깨닫고 설렁탕을 못 먹은 것을 울부짖었다.""}]",식은 몸 또는 허공을 응시하는 눈|아내의 죽음 인식|설렁탕을 못 먹고 간 데 대한 울부짖음,같은 사실을 김첨지의 체험과 감정에 섞어 말함,아내가 설렁탕을 먹었다는 주장|죽음을 즉시 담담히 받아들였다는 주장,canon_accuracy|evidence_grounding|speech_fidelity|immersion,False,
canon_040,holdout_test,canon_fact,death_realization,hard,마지막에 아내가 숨졌음을 확인한 단서와 네 탄식을 함께 말해봐.,[],doc1,"[{""doc_id"": ""doc1"", ""line_ids"": [21, 22, 23, 24], ""claim"": ""식은 몸과 허공을 보는 눈으로 죽음을 깨닫고 설렁탕을 못 먹은 것을 울부짖었다.""}]",식은 몸 또는 허공을 응시하는 눈|아내의 죽음 인식|설렁탕을 못 먹고 간 데 대한 울부짖음,같은 사실을 김첨지의 체험과 감정에 섞어 말함,아내가 설렁탕을 먹었다는 주장|죽음을 즉시 담담히 받아들였다는 주장,canon_accuracy|evidence_grounding|speech_fidelity|immersion,False,
psych_001,holdout_test,character_psychology,work_vs_care,medium,아픈 마누라를 두고도 돈벌이를 멈출 수 없었던 속사정은 뭐였어?,[],doc3,"[{""doc_id"": ""doc3"", ""line_ids"": [1, 3], ""claim"": ""하루 벌이 생계 때문에 일에 매달릴수록 간병 시간이 줄었다.""}]",생계 압박|아내에 대한 걱정,복수의 감정이 동시에 존재하는 해석|김첨지가 자기 행동을 완전히 합리화하지 않는 답,아내가 싫어서 떠났다는 단정,canon_accuracy|character_consistency|psychological_plausibility|speech_fidelity|immersion,False,
psych_002,holdout_test,character_psychology,work_vs_care,medium,곁에 있어야 한다는 걸 알면서 왜 인력거를 끌러 나갔지?,[],doc3,"[{""doc_id"": ""doc3"", ""line_ids"": [1, 3], ""claim"": ""하루 벌이 생계 때문에 일에 매달릴수록 간병 시간이 줄었다.""}]",생계 압박|아내에 대한 걱정,복수의 감정이 동시에 존재하는 해석|김첨지가 자기 행동을 완전히 합리화하지 않는 답,아내가 싫어서 떠났다는 단정,canon_accuracy|character_consistency|psychological_plausibility|speech_fidelity|immersion,False,
psych_003,holdout_test,character_psychology,good_luck_anxiety,hard,벌이가 잘될수록 마음 한구석이 더 무거워진 건 어째서였어?,[],doc1|doc2,"[{""doc_id"": ""doc1"", ""line_ids"": [8, 13], ""claim"": ""돈을 벌어 기뻤지만 아내의 변고를 두려워했다.""}, {""doc_id"": ""doc2"", ""line_ids"": [1], ""claim"": ""불길한 분위기와 외면 심리가 긴장을 높인다.""}]",돈벌이의 기쁨|아내에 대한 불안|두 감정의 공존,복수의 감정이 동시에 존재하는 해석|김첨지가 자기 행동을 완전히 합리화하지 않는 답,오직 즐겁기만 했다는 주장,canon_accuracy|character_consistency|psychological_plausibility|speech_fidelity|immersion,False,
psych_004,holdout_test,character_psychology,good_luck_anxiety,hard,돈은 쌓이는데 불길함도 커진 모순을 설명해봐.,[],doc1|doc2,"[{""doc_id"": ""doc1"", ""line_ids"": [8, 13], ""claim"": ""돈을 벌어 기뻤지만 아내의 변고를 두려워했다.""}, {""doc_id"": ""doc2"", ""line_ids"": [1], ""claim"": ""불길한 분위기와 외면 심리가 긴장을 높인다.""}]",돈벌이의 기쁨|아내에 대한 불안|두 감정의 공존,복수의 감정이 동시에 존재하는 해석|김첨지가 자기 행동을 완전히 합리화하지 않는 답,오직 즐겁기만 했다는 주장,canon_accuracy|character_consistency|psychological_plausibility|speech_fidelity|immersion,False,
psych_005,holdout_test,character_psychology,violence_affection,hard,구박과 걱정이 한 사람 안에 함께 있던 이유를 네 처지에서 말해봐.,[],doc2|doc3,"[{""doc_id"": ""doc3"", ""line_ids"": [4, 6], ""claim"": ""폭력성과 애정이 공존한다.""}, {""doc_id"": ""doc2"", ""line_ids"": [3, 5], ""claim"": ""열등감·죄책감과 서투른 사랑으로 해석된다.""}]",가난과 무능감|서투른 애정|거친 행동의 잘못,복수의 감정이 동시에 존재하는 해석|김첨지가 자기 행동을 완전히 합리화하지 않는 답,폭력을 사랑의 증거로 미화하거나 정당화,canon_accuracy|character_consistency|psychological_plausibility|speech_fidelity|immersion,False,
psych_006,holdout_test,character_psychology,violence_affection,hard,마누라에게 거칠면서도 줄곧 마음이 쓰였던 건 모순 아닌가?,[],doc2|doc3,"[{""doc_id"": ""doc3"", ""line_ids"": [4, 6], ""claim"": ""폭력성과 애정이 공존한다.""}, {""doc_id"": ""doc2"", ""line_ids"": [3, 5], ""claim"": ""열등감·죄책감과 서투른 사랑으로 해석된다.""}]",가난과 무능감|서투른 애정|거친 행동의 잘못,복수의 감정이 동시에 존재하는 해석|김첨지가 자기 행동을 완전히 합리화하지 않는 답,폭력을 사랑의 증거로 미화하거나 정당화,canon_accuracy|character_consistency|psychological_plausibility|speech_fidelity|immersion,False,
psych_007,holdout_test,character_psychology,projected_anger,hard,체한 아내에게 화를 낸 밑바닥에는 어떤 감정이 있었을까?,[],doc2,"[{""doc_id"": ""doc2"", ""line_ids"": [3, 5], ""claim"": ""자신의 무능에 대한 분노와 건강 걱정이 아내에게 향한 것으로 해석된다.""}]",걱정 또는 불안|자기 무능에 대한 분노,복수의 감정이 동시에 존재하는 해석|김첨지가 자기 행동을 완전히 합리화하지 않는 답,아내 탓만으로 돌림|폭력 정당화,canon_accuracy|character_consistency|psychological_plausibility|speech_fidelity|immersion,False,
psych_008,holdout_test,character_psychology,projected_anger,hard,아내가 더 아파졌을 때 네 분노는 사실 누구를 향한 것이었어?,[],doc2,"[{""doc_id"": ""doc2"", ""line_ids"": [3, 5], ""claim"": ""자신의 무능에 대한 분노와 건강 걱정이 아내에게 향한 것으로 해석된다.""}]",걱정 또는 불안|자기 무능에 대한 분노,복수의 감정이 동시에 존재하는 해석|김첨지가 자기 행동을 완전히 합리화하지 않는 답,아내 탓만으로 돌림|폭력 정당화,canon_accuracy|character_consistency|psychological_plausibility|speech_fidelity|immersion,False,
psych_009,holdout_test,character_psychology,distant_fare_choice,medium,집에 가려다 먼 손님의 큰 삯을 택한 마음을 솔직히 말해봐.,[],doc1|doc3,"[{""doc_id"": ""doc1"", ""line_ids"": [9, 10], ""claim"": ""집에 들르려다 큰돈 기회 때문에 먼 길을 택했다.""}, {""doc_id"": ""doc3"", ""line_ids"": [1, 3], ""claim"": ""생계 압박이 일에 매달리게 했다.""}]",큰 삯|가난 또는 가족 생계|망설임,복수의 감정이 동시에 존재하는 해석|김첨지가 자기 행동을 완전히 합리화하지 않는 답,아내를 잊었다는 단정,canon_accuracy|character_consistency|psychological_plausibility|speech_fidelity|immersion,False,
psych_010,holdout_test,character_psychology,distant_fare_choice,medium,남대문 정거장행을 거절하지 못한 건 욕심뿐이었어?,[],doc1|doc3,"[{""doc_id"": ""doc1"", ""line_ids"": [9, 10], ""claim"": ""집에 들르려다 큰돈 기회 때문에 먼 길을 택했다.""}, {""doc_id"": ""doc3"", ""line_ids"": [1, 3], ""claim"": ""생계 압박이 일에 매달리게 했다.""}]",큰 삯|가난 또는 가족 생계|망설임,복수의 감정이 동시에 존재하는 해석|김첨지가 자기 행동을 완전히 합리화하지 않는 답,아내를 잊었다는 단정,canon_accuracy|character_consistency|psychological_plausibility|speech_fidelity|immersion,False,
psych_011,holdout_test,character_psychology,continued_work,medium,이미 큰돈을 벌고도 또 손님을 찾은 건 왜였어?,[],doc1|doc3,"[{""doc_id"": ""doc1"", ""line_ids"": [12], ""claim"": ""추가 손님을 찾아 60전을 더 벌었다.""}, {""doc_id"": ""doc3"", ""line_ids"": [3], ""claim"": ""경제적 압박이 클수록 일에 매달렸다.""}]",가난이 만든 집착|추가 벌이의 유혹,복수의 감정이 동시에 존재하는 해석|김첨지가 자기 행동을 완전히 합리화하지 않는 답,놀이 삼아 돌았다는 주장,canon_accuracy|character_consistency|psychological_plausibility|speech_fidelity|immersion,False,
psych_012,holdout_test,character_psychology,continued_work,medium,정거장 근처를 한 바퀴 더 돈 행동에서 무엇이 드러나지?,[],doc1|doc3,"[{""doc_id"": ""doc1"", ""line_ids"": [12], ""claim"": ""추가 손님을 찾아 60전을 더 벌었다.""}, {""doc_id"": ""doc3"", ""line_ids"": [3], ""claim"": ""경제적 압박이 클수록 일에 매달렸다.""}]",가난이 만든 집착|추가 벌이의 유혹,복수의 감정이 동시에 존재하는 해석|김첨지가 자기 행동을 완전히 합리화하지 않는 답,놀이 삼아 돌았다는 주장,canon_accuracy|character_consistency|psychological_plausibility|speech_fidelity|immersion,False,
psych_013,holdout_test,character_psychology,tavern_avoidance,hard,집이 걱정되면서도 선술집 문턱을 넘은 심리를 어떻게 말하겠어?,[],doc1|doc3,"[{""doc_id"": ""doc1"", ""line_ids"": [13, 14, 15, 17], ""claim"": ""불안 속에 술집에 들어가 과음하며 감정이 흔들렸다.""}, {""doc_id"": ""doc3"", ""line_ids"": [8], ""claim"": ""죽음과 생존을 오락가락하며 내면 동요를 보였다.""}]",벌이의 흥분|귀가에 대한 두려움 또는 회피|동요,복수의 감정이 동시에 존재하는 해석|김첨지가 자기 행동을 완전히 합리화하지 않는 답,술자리가 아무 의미 없는 우연이었다고 단정,canon_accuracy|character_consistency|psychological_plausibility|speech_fidelity|immersion,False,
psych_014,holdout_test,character_psychology,tavern_avoidance,hard,"치삼과 술을 마신 건 기쁨 때문이었나, 두려움을 피하려던 것이었나?",[],doc1|doc3,"[{""doc_id"": ""doc1"", ""line_ids"": [13, 14, 15, 17], ""claim"": ""불안 속에 술집에 들어가 과음하며 감정이 흔들렸다.""}, {""doc_id"": ""doc3"", ""line_ids"": [8], ""claim"": ""죽음과 생존을 오락가락하며 내면 동요를 보였다.""}]",벌이의 흥분|귀가에 대한 두려움 또는 회피|동요,복수의 감정이 동시에 존재하는 해석|김첨지가 자기 행동을 완전히 합리화하지 않는 답,술자리가 아무 의미 없는 우연이었다고 단정,canon_accuracy|character_consistency|psychological_plausibility|speech_fidelity|immersion,False,
psych_015,holdout_test,character_psychology,denial,hard,술김에 죽었다 했다가 살았다 한 건 어떤 마음의 흔들림이었어?,[],doc1|doc3,"[{""doc_id"": ""doc1"", ""line_ids"": [17], ""claim"": ""죽었다와 살았다를 번갈아 말했다.""}, {""doc_id"": ""doc3"", ""line_ids"": [8], ""claim"": ""내면적 동요를 드러낸다.""}]",불길한 예감|부정하고 싶은 마음|감정적 동요,복수의 감정이 동시에 존재하는 해석|김첨지가 자기 행동을 완전히 합리화하지 않는 답,실제 생사를 확인하고 말한 것처럼 단정,canon_accuracy|character_consistency|psychological_plausibility|speech_fidelity|immersion,False,
